"time","latitude","longitude","ptype"
2023-12-31 23:00:00,46.05,18.8,3.1827392578125
2024-01-31 23:00:00,46.05,18.8,3.0887451171875
2024-02-29 23:00:00,46.05,18.8,3.0887451171875
2024-03-31 23:00:00,46.05,18.8,3.0416259765625
2024-04-30 23:00:00,46.05,18.8,2.9273681640625
2024-05-31 23:00:00,46.05,18.8,2.9273681640625
2024-06-30 23:00:00,46.05,18.8,2.6424560546875
2024-07-31 23:00:00,46.05,18.8,3.06591796875
2024-08-31 23:00:00,46.05,18.8,3.06591796875
2024-09-30 23:00:00,46.05,18.8,3.3104248046875
2024-10-31 23:00:00,46.05,18.8,3.1424560546875
2024-11-30 23:00:00,46.05,18.8,2.29833984375
2024-12-31 23:00:00,46.05,18.8,2.29833984375
2025-01-31 23:00:00,46.05,18.8,2.5887451171875
2025-02-28 23:00:00,46.05,18.8,3.2620849609375
2005-01-31 23:00:00,45.8,18.8,3.2620849609375
2005-02-28 23:00:00,45.8,18.8,3.274169921875
2005-03-31 23:00:00,45.8,18.8,2.9354248046875
2005-04-30 23:00:00,45.8,18.8,2.9354248046875
2005-05-31 23:00:00,45.8,18.8,2.220458984375
2005-06-30 23:00:00,45.8,18.8,2.866943359375
2005-07-31 23:00:00,45.8,18.8,2.866943359375
2005-08-31 23:00:00,45.8,18.8,3.209716796875
2005-09-30 23:00:00,45.8,18.8,2.9476318359375
2005-10-31 23:00:00,45.8,18.8,2.9476318359375
2005-11-30 23:00:00,45.8,18.8,3.4031982421875
2005-12-31 23:00:00,45.8,18.8,3.356201171875
2006-01-31 23:00:00,45.8,18.8,3.356201171875
2006-02-28 23:00:00,45.8,18.8,0.6263427734375
2006-03-31 23:00:00,45.8,18.8,0.6263427734375
2006-04-30 23:00:00,45.8,18.8,0.61962890625
2006-05-31 23:00:00,45.8,18.8,2.478515625
2006-06-30 23:00:00,45.8,18.8,2.478515625
2006-07-31 23:00:00,45.8,18.8,3.0067138671875
2006-08-31 23:00:00,45.8,18.8,2.459716796875
2006-09-30 23:00:00,45.8,18.8,2.459716796875
2006-10-31 23:00:00,45.8,18.8,2.774169921875
2006-11-30 23:00:00,45.8,18.8,2.97314453125
2006-12-31 23:00:00,45.8,18.8,2.97314453125
2007-01-31 23:00:00,45.8,18.8,2.9219970703125
2007-02-28 23:00:00,45.8,18.8,2.5537109375
2007-03-31 23:00:00,45.8,18.8,2.5537109375
2007-04-30 23:00:00,45.8,18.8,3.34814453125
2007-05-31 23:00:00,45.8,18.8,3.1075439453125
2007-06-30 23:00:00,45.8,18.8,3.1075439453125
2007-07-31 23:00:00,45.8,18.8,0.2486572265625
